Num;Review;review_type
45001;rt когда вк обновится уже;bad
45002;грусть печаль оказывается tea amp coffeegarden на 8 марта закрылся;bad
45003;навязываться я устала навязываться с меня хватит достаточно нет так нет не надо и мне не надо я уже теряла потеряю и еще;bad
45004;на самом деле правильно они очень вредные а такие дурачки как ваня этого не понимают;bad
45005;не первый раз такая хрень с инстаграмом когда загружаю одно фото а публикуется совсем другое;bad
45006;блин хоть разорвись налево пойду домой не попаду направо пойду налево не успею;bad
45007;rt вечная память тебе кимочка с днем рождения;bad
45008;знаю что нужно с спасибином дружить начать что бы дурь курить и микро автобусы угонять 9 9;bad
45009;я завтра с удовольствием проебала бы пары но зачет по имок не дает;bad
45010;ага я спасала их как могла;bad
45011;rt только я могу проебать загодать желание в 14 15;bad
45012;ааа как это мило 3 обожаю тебя я бы тоже хотела отпраздновать нг с тобой жаль что не могу всего всего тебе;bad
45013;божеееееее я забыла совсем капец я опечалена;bad
45014;мой одноклассник никита заболел шот как то грустно без него стало;bad
45015;rt на работе муха который день доебывается гопник штоле;bad
45016;rt удалил какой то пакет и теперь везде кроме хрома вместо букв квадратики;bad
45017;rt по закону подлости чулки подрались утром же хотя в такую погоду стоит вообще на них забить но девушки в меховых жиле;bad
45018;амбиции решительность и даже жесткость дают конечно результат но враги так быстро множатся а когда они объединяются происходит;bad
45019;жизнь стала такой насыщенной что перестала успевать писать твиты;bad
45020;почему я думала ты хочешь его обидеть тт;bad
45021;скучаю по длинным;bad
45022;дааааш посиди доооома пожааалуйста;bad
45023;нет не грузится кранчбанг индикатор загрузки доходит до конца и пустой экран;bad
45024;вот она демократическая поправка в избирательный кодекс владимирской области предложенная депутатами зс;bad
45025;а вы знали что дельфины не умеют пить и могут умереть в воде от обезвоживания организма о о;bad
45026;всегда и везде с ним вот эт реально любовка хочу тоже так;bad
45027;ggogoogogogogoogogog мне очень скучно;bad
45028;я забыла загадать желаниееееееееееееее;bad
45029;rt я ржал как мудак когда смотрел первый раз;bad
45030;веном патамуш в воскресенье вы почти весь день в тви а по будням вы заняты все;bad
45031;здается мне не выйдет у меня и 95 баллов по инглишу за этот тетраместр;bad
45032;аааа скоро к репетитору пойду черт;bad
45033;проебала сегодня все что было можно;bad
45034;только отъехала от колледжа почему все так долго;bad
45035;интернет не радует youtube со своими заморочками тоже так себе настроенице;bad
45036;уже сегодня 11 12 13 14 15 я прос юпала;bad
45037;надо собраться собраться и сделать английский блин как не хочется спать хочу;bad
45038;а я в 4 лег ппц завтра пробное гиа еще;bad
45039;смешно тебе тут беда подкрадывается ростик в тп превращается;bad
45040;rt кругом в основном элт мониторы ужасная belinea у нас тоже такие покупались в 1999 глазам неприятно;bad
45041;ааа там нет товара который мне нужен еду в другой магазин и еще мне надо вызвать сантехника блять воду перекрыли из за шланга;bad
45042;опять вставать в 6 утра как все это надоело;bad
45043;наконец то дома устала замерзла кошмар;bad
45044;ай хейт ма лайф и блять даже има угла нету 9 говорю ж уебанская комната;bad
45045;rt так хотелось на праздники туда поехать но теперь флоренция в задницу этих майданутых;bad
45046;эхх дыа и я адинок и карбюратор ток остается;bad
45047;сижу и пытаюсь подобрать правильную комбинацию ключа на збт для риккуши;bad
