Num,Review,Review_type
30001,"ноооо, мұндай қарлы желдермен, демалысқа дейін емес, бұл анық d",good
30002,"сізде және менің әйелімде бірдей Юпа бар, мен сәлем жазғым келді сүйіктім д",good
30003,"Мен сізге ескертемін, бұл менің бірінші фф, сондықтан боқ толы x",good
30004,"Менің ойымша, қазір менің ойыма қиянатшыл ойлар сирек кездеседі, бірақ олар солай болады",good
30005,rt бәрінің де осындай көршілері бар,good
30006,"қандай да бір себептермен олар мысықтарға айтады, бірақ бірде-бір мысық ешқашан оның қайдан шыққанын болжай алатын адаммен бродер білігін ішпеген.",good
30007,"шай шай жақсы, рахмет мен сені де жақсы көремін 3",good
30008,"мені оқығаны үшін рахмет, сауығып кет",good
30009,"ең бастысы - мұз айдынын су басып, қалған қардың қажеті жоқ, тек аққала үшін ғана",good
30010,Леша бәрін жақсы отырғызады,good
30011,сіз жақсы адамсыз рахмет,good
30012,"броу 3 енді шөмішті жабыңыз, сіз бәріңіз тамаша d",good
30013,бірақ піскен алмалар одан да әдемі болу үшін күнге қарай тартылады,good
30014,Екінші күннен бері мен бұл күнтізбеден шыға бастадым,good
30015,"rt Мәскеуде алғашқы фотосессия, мен 18 жастамын сынап журналына түсемін",good
30016,Мен симс ойнаймын және қарақшыларды бір уақытта көремін,good
30017,сыныптастары олар соншалықты d 1,good
30018,Vick біз сәл жіңішкердік,good
30019,rt үшін твит,good
30020,"соңғы апталарда мен кроссовкалар мен шоколадты сүтпен ғана тамақтанамын, бүгін ммм жеймін",good
30021,"сүйек қорқынышты емес, ол емделуде",good
30022,rt kitty тұлға махаббат кезінде жай эпопея себеді dd,good
30023,Джулиан Леннон мәңгі леннон мәңгі леннон мәңгі леннон мәңгі леннон мәңгі леннон мәңгі эй иуде,good
30024,"бугагага әкесі нумен тағы 2 дау, кім бақытты екенін көрейік",good
30025,"ол кеше соншалықты мұқият қарады, мен ұялдым ахахах",good
30026,"ант бермеңіз, әйтпесе цермет темекісінің қорабын алмайсыз",good
30027,rt ертегідегі кездесулер онлайн танысу,good
30028,"мырзалар, біреу қандай-да бір себептермен менің аккаунтымды жасанды түрде жасады және барлығының достарына араша түсу арандатуға жатпайды",good
30029,"кеше менде темекі шегу туралы дін туралы қаламдар болды, мен ертең не болады деп ойлаймын",good
30030,Марстағы 3 секундтық төрт мтв жұлдыз бізді қалай басып озды,good
30031,"rt шай шай жақсы, рахмет мен сізді жақсы көремін 3",good
30032,өйткені әр қар үйіндісінде қыз жоқ,good
30033,менің қуыстарым,good
30034,жаңа жылдардағы жер мен басқа жерлер жаңа жылдардағы отандық таксам,good
30035,мұндай сынақтар мен емтихандар мерекеге дейін мүлдем болмайды,good
30036,ааа Жеңіс саябағында балалар слайдпен жүруге өте жақсы,good
30037,rt осы таңертеңгі суреттен d,good
30038,"иә, ол оған тек осылай қарайды",good
30039,"rt 8 наурызда олар сыйлаған бірнеше сыйлық түстен кейін өте қуанышты болды, кешке досы келді, жиенімен кетті",good
30040,ол 2-нің басында болғанына қуанғанын айтып қоңырау шалды,good
30041,Нәтижеге ризамын,good
30042,"ха, сіз терезе аштыңыз, мен твиттегі суреттер ауысады деп ойладым, бірақ нәтижесінде 2 терезе пайда болды",good
30043,"rt темекіні кез-келген жолмен тастауға тырыспаңыз, бұл жай ғана әдет және әдетті есірткі арқылы емдеу мүмкін емес",good
30044,оооооооооооооооооооооо бауырым аспазшы болып жұмыс жасайды інім аспазшы болып жұмыс істейді,good
30045,ескі досымның досы қыста шұлық байлады,good
30046,жүргізуші Майк Джексон д ия саша жетекші Меган Меган жетекші достар Марсадан,good
30047,Сіз университеттік колледждің мектеп күнделігінен қандай айырмашылығы бар екеніне таң қаласыз,good
30048,"Бәсекелес Фрэнкке киініп, содан кейін ддд шешіндіруге өте таңқаларлық болды, бірақ олар ұқсас сияқты",good
30049,"ахахаха менде әлі күнге дейін жолбарыстар бар, аахахаха",good
30050,"о, мен соқпақпен жүремін немесе осыдан бастаймын",good
30051,"Мен бейнені инстуацияға кездейсоқ қалай жүктей аламын деп ойлаймын, ол 5 минутқа жүктеледі, сіз қандай ингибирленген болуыңыз керек?",good
30052,ақыр соңында ол озон саяхатынан өтті және әрине иә болды,good
30053,"маған Настямен отырып, біз натахамен д маңызды әңгімелестік",good
30054,"rt неге ол маған хат жазады, мен саған келген сайын оған жазған сайын жаман болғанымды қалайды",good
30055,"иә, мен қазір білемін, бірақ мен қайшы қарындастарға ілінбеймін",good
30056,"Бүгін мен түнгі ыңғайсыздықтан ояндым және бұл туралы ойлау оңай болды, демек мен бәрін дұрыс істеп жатырмын",good
30057,"жігіттер джойстикке қоңырау және ысқырықсыз баға қалыпты деп кеңес береді, маңызды емес, әрине",good
30058,рт Джулиан Леннон мәңгі леннон мәңгі леннон мәңгі леннон мәңгі леннон мәңгі леннон мәңгі эй иуде,good
30059,rt кейде маған менің артымнан жақсы араласатын адамдар менің қандай қоқыс екенімді айтатын сияқты көрінеді,good
30060,витя бухой енді ширектің жарты кварталының жартысын сорғысы келеді por qua ширектің жартысы obrsu uraaaa деді d,good
30061,"ол, мектепке бармау үшін маған сыныптың ата-аналары қоңырау шалуы керек",good
30062,"ильшатик ришка ралиф идолка кешке рахмет, салқын болды, әсіресе ишка ришка ралиф бізді қуған кезде ақымақ г",good
30063,311 м турбо-концертке дайындықты бастау,good
30064,сондықтан барлық уақыт белдеулері қулық-сұмдық екені анық,good
30065,"иә, қыздар шынымен де қолдарында телефон ұстамайды, оның ішінде машинаның кілті бар және олар сол қолмен гестикуляция жасайды",good
30066,ахаха иә иә кездейсоқ телефон маған барып суретке түсті,good
30067,арттағы жігіт ұялды,good
30068,"Мен жай ғана Rive Gauche-тен тоналды крем сатып алдым, жақында барамын, және жаңа жылдық жеңілдіктер бар, крем 2 рубльге арзан",good
30069,rt сіз үшін жақсы жұмыс көңіл-күйін өмір сүріңіз,good
30070,мен қай затты тапқанымды көр,good
30071,"мен де, бірақ менде бар",good
